name,rai,lat,lon
สวนสราญรมย์,23,13.748177,100.495225
สวนสิริภิรมย์,23,13.828948,100.746679
สวนสาธารณะบึงน้ำลาดพร้าว 71,21,13.819467,100.612174
สวนเฉลิมพระเกียรติ 80 พรรษา พระบาทสมเด็จพระเจ้าอยู่หัว (บางกอกน้อย),21,13.772139,100.468107
สวน 50 พรรษามหาจักรีสิรินธร,20,13.676562,100.677738
สวนสันติภาพ,20,13.76177,100.540762
สวนเฉลิมพระเกียรติ 80 พรรษาพระบาทสมเด็จพระเจ้าอยู่หัว(สาธร),17,13.715097,100.519301
สวนรมณีย์ทุ่งสีกัน,15,13.928998,100.567671
สวนพระยาภิรมย์,10,13.823001,100.755688
สวนสาธารณะสันติชัยปราการ,8,13.76389,100.495304
สวนราษฎร์ภิรมย์,7,13.807789,100.881565
สวนสิรินธาพฤกษาพรรณ,3,13.74649,100.466558
สวนจรัญภิรมย์,3,13.774681,100.491275
สวนนคราภิรมย์,3,13.746788,100.49027
