name,rai,lat,lon
สวนสาธารณะศูนย์กีฬาบึงหนองบอน,644,13.695695,100.6588
สวนหลวงร.9,500,13.685901,100.663804
สวนวชิรเบญจทัศ (สวนรถไฟ),375,13.810744,100.553046
สวนลุมพินี,360,13.731329,100.541722
สวนเสรีไทย,208,13.787373,100.673522
สวนสมเด็ขพระนางเจ้าสิริกิติ์,196,13.806279,100.550054
สวนเบญจกิติ,191,13.729637,100.558676
สวนจตุจักร,155,13.806908,100.55515
